iter	RMSE	MSLE
708	3.115172846	0.2093928506
709	3.115141026	0.2093884132
710	3.1150951	0.2093832971
711	3.115053589	0.2093798518
712	3.115029944	0.2093762931
713	3.114991721	0.20937004
714	3.114965439	0.2093666952
715	3.114920867	0.2093612804
716	3.114886225	0.2093563886
717	3.114850826	0.2093516098
718	3.114800916	0.2093452654
719	3.114783939	0.2093429246
720	3.114751801	0.2093386179
721	3.114706879	0.2093334833
722	3.114663863	0.2093287889
723	3.114639492	0.209325474
724	3.114620707	0.2093224727
725	3.114587741	0.2093187888
726	3.114561137	0.2093155102
727	3.114533337	0.2093113161
728	3.114516431	0.2093095961
729	3.114463223	0.2093048371
730	3.114451896	0.209303747
731	3.114405726	0.20929895
732	3.114388153	0.2092970417
733	3.114372613	0.209295369
734	3.11434258	0.20929078
735	3.114309507	0.2092871673
736	3.114286229	0.2092847475
737	3.114263453	0.2092822301
738	3.114248281	0.2092800455
739	3.114224879	0.2092766198
740	3.114200447	0.2092736658
741	3.1141674	0.2092696291
742	3.11414786	0.2092671605
743	3.11410722	0.2092616423
744	3.114083345	0.209258922
745	3.11405358	0.2092548136
746	3.114023533	0.2092505249
747	3.113977515	0.2092447243
748	3.113931573	0.2092394626
749	3.113893899	0.2092348002
750	3.113865128	0.2092314458
751	3.113838237	0.2092280525
752	3.1137877	0.2092242668
753	3.113759524	0.2092202816
754	3.113730611	0.2092165752
755	3.113698137	0.209212549
756	3.113678215	0.209209794
757	3.113652911	0.2092064392
758	3.113631381	0.2092039277
759	3.113596879	0.2091999253
760	3.113575539	0.2091972609
761	3.113551994	0.2091949096
762	3.11353644	0.209193036
763	3.113498582	0.2091879586
764	3.11346609	0.2091835268
765	3.113445194	0.2091812349
766	3.113417947	0.2091778801
767	3.113396015	0.2091748664
768	3.113384367	0.209173821
769	3.113358794	0.2091706649
770	3.113312203	0.2091657918
771	3.113282538	0.2091623009
772	3.113268145	0.2091603854
773	3.113233908	0.2091567415
774	3.113212585	0.2091539218
775	3.113182464	0.2091502156
776	3.11315151	0.2091462341
777	3.113120206	0.2091424948
778	3.113098563	0.2091398275
779	3.113080264	0.2091380464
780	3.113044448	0.2091340601
781	3.113018972	0.2091307435
782	3.112987409	0.2091266226
783	3.112955174	0.209122545
784	3.112925768	0.2091186988
785	3.11288854	0.2091147561
786	3.112858981	0.2091113149
787	3.112837226	0.2091090162
788	3.112783064	0.2091045133
789	3.112752625	0.2091001086
790	3.112714628	0.2090949052
791	3.112690568	0.2090918431
792	3.112686879	0.2090915759
793	3.112662764	0.2090884657
794	3.112641805	0.209086445
795	3.112614415	0.20908352
796	3.112592157	0.2090802787
797	3.112572167	0.2090778128
798	3.112538541	0.2090737469
799	3.112492661	0.2090708245
800	3.11246724	0.2090672618
801	3.112446017	0.2090637362
802	3.112426351	0.2090615671
803	3.11241127	0.2090596
804	3.112400765	0.209058674
805	3.112374514	0.2090547884
806	3.112358118	0.2090527305
807	3.112325331	0.2090488878
808	3.112291411	0.2090452898
809	3.11224539	0.2090395151
810	3.112212757	0.2090347045
811	3.112182578	0.2090307189
812	3.112148854	0.2090261195
813	3.11211174	0.2090209543
814	3.112087232	0.2090178284
815	3.112058821	0.2090135796
816	3.11203425	0.2090106237
817	3.112004854	0.2090070115
818	3.111982333	0.2090038718
819	3.111970024	0.209002804
820	3.111957029	0.2090015727
821	3.111939451	0.2089990888
822	3.11191198	0.2089961052
823	3.111890591	0.2089935727
824	3.111856093	0.2089884439
825	3.111834735	0.2089853668
826	3.111815977	0.2089830151
827	3.111793573	0.2089801505
828	3.111755915	0.2089749996
829	3.111730589	0.2089714412
830	3.1116872	0.2089658901
831	3.111660363	0.2089628846
832	3.111634737	0.208959891
833	3.111592545	0.208954612
834	3.111558527	0.208949273
835	3.111494838	0.2089430751
836	3.111462378	0.2089385409
837	3.111430057	0.2089350835
838	3.111382193	0.2089310837
839	3.111357981	0.20892787
